format,condition,curve_type,task,estimate_position,median,q25,q75,band_label
unrestricted,baseline,task_median,giraffes,0.3083083083083083,0.1679956309585939,,,
unrestricted,baseline,task_median,giraffes,0.30930930930930933,0.16801844579622358,,,
unrestricted,baseline,task_median,giraffes,0.3103103103103103,0.16804126063385322,,,
unrestricted,baseline,task_median,giraffes,0.3113113113113113,0.16806407547148286,,,
unrestricted,baseline,task_median,giraffes,0.3123123123123123,0.16808689030911253,,,
unrestricted,baseline,task_median,giraffes,0.3133133133133133,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.31431431431431434,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3153153153153153,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3163163163163163,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3173173173173173,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3183183183183183,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.31931931931931934,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3203203203203203,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3213213213213213,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.32232232232232233,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3233233233233233,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.32432432432432434,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3253253253253253,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3263263263263263,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.32732732732732733,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3283283283283283,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.32932932932932935,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3303303303303303,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3313313313313313,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.33233233233233234,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3333333333333333,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.33433433433433435,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3353353353353353,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3363363363363363,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.33733733733733734,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3383383383383383,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.33933933933933935,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.34034034034034033,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.34134134134134136,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.34234234234234234,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.3433433433433433,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.34434434434434436,0.16809116809116809,,,
unrestricted,baseline,task_median,giraffes,0.34534534534534533,0.16809116809116809,,,
